epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.10124,3.40246,4.88712,4.37179,0,0,0,0,3.57791,4.0359,4.15768,0.0964,0.0004,0.0004
2,3.95574,3.31934,4.88997,4.44007,0,0,0,0,3.57659,4.04146,4.15502,0.0918991,0.000899109,0.000899109
3,4.71557,3.32469,4.83704,4.37662,0,0,0,0,3.56677,4.04637,4.14956,0.0873972,0.00139723,0.00139723
4,5.48927,3.36132,4.73553,4.34705,0,0,0,0,3.54933,4.05669,4.14131,0.0828944,0.00189436,0.00189436
5,6.26252,3.323,4.74263,4.30716,0,0,0,0,3.52751,4.06774,4.13114,0.0783905,0.0023905,0.0023905
6,7.00127,3.28572,4.66928,4.24507,0,0,0,0,3.50276,4.07988,4.11935,0.0738856,0.00288564,0.00288564
7,7.78152,3.33679,4.64908,4.20547,0,0,0,0,3.47503,4.08824,4.10704,0.0693798,0.0033798,0.0033798
8,8.56912,3.30297,4.58157,4.17689,0,0,0,0,3.44632,4.09858,4.09597,0.064873,0.00387297,0.00387297
9,9.33512,3.23868,4.42916,4.12794,0,0,0,0,3.42505,4.10738,4.08669,0.0603652,0.00436515,0.00436515
10,10.0543,3.18922,4.38003,4.08351,0,0,0,0,3.40811,4.12174,4.07961,0.0558563,0.00485634,0.00485634
11,10.7263,2.98348,4.26245,4.04284,0,0,0,0,3.40225,4.12495,4.07925,0.0513465,0.00534654,0.00534654
12,11.3993,3.02108,4.15774,4.0187,0,0,0,0,3.40347,4.13508,4.08,0.0468357,0.00583575,0.00583575
13,12.2558,2.9018,4.07728,3.9522,0,0,0,0,3.40255,4.13863,4.08213,0.042324,0.00632397,0.00632397
14,12.9596,2.82326,3.84488,3.85604,0,0,0,0,3.41297,4.15951,4.08805,0.0378112,0.0068112,0.0068112
15,13.6651,2.69196,3.88284,3.81168,0,0,0,0,3.4214,4.17208,4.09551,0.0332974,0.00729744,0.00729744
16,14.3696,2.66388,3.70465,3.66834,0,0,0,0,3.43537,4.19494,4.10853,0.0287827,0.00778268,0.00778268
17,15.0874,2.59137,3.555,3.52973,0,0,0,0,3.44317,4.20908,4.11521,0.0242669,0.00826694,0.00826694
18,15.8216,2.57317,3.49459,3.46404,0,0,0,0,3.45122,4.23386,4.11966,0.0197502,0.00875021,0.00875021
19,16.4831,2.46224,3.34126,3.33103,0,0,0,0,3.30342,4.25908,4.01563,0.0152325,0.00923249,0.00923249
20,17.2142,2.48439,3.41183,3.29781,0.00363,0.80429,0.07238,0.02983,2.15844,3.97858,3.06542,0.0107138,0.00971378,0.00971378
21,17.909,2.36305,3.19552,3.22729,0.00414,0.97222,0.0749,0.02379,2.06722,3.75687,3.00016,0.009802,0.009802,0.009802
22,18.6632,2.33245,3.22148,3.13218,0.25926,0.37563,0.16534,0.05451,1.80149,4.18216,3.56984,0.0097921,0.0097921,0.0097921
23,19.5208,2.40057,3.15805,3.13561,0.16205,0.34975,0.1549,0.04664,2.04264,8.34415,4.05889,0.0097822,0.0097822,0.0097822
24,20.2975,2.34278,2.94559,3.04635,0.02037,0.65278,0.02125,0.01196,2.21711,inf,10.5391,0.0097723,0.0097723,0.0097723
25,21.0127,2.238,2.87302,3.02739,0.03561,0.59091,0.12066,0.04094,2.31878,76.0333,7.67642,0.0097624,0.0097624,0.0097624
26,21.7679,2.07275,2.9199,2.94763,0.0983,0.21528,0.10752,0.02659,2.476,inf,10.2552,0.0097525,0.0097525,0.0097525
27,22.592,2.17061,2.72151,2.94269,0.11908,0.22096,0.09403,0.01794,2.84127,inf,10.5643,0.0097426,0.0097426,0.0097426
28,23.3671,2.0661,2.69316,2.85075,0.2237,0.58207,0.22446,0.07638,2.31139,44.074,6.27067,0.0097327,0.0097327,0.0097327
29,24.1875,2.00846,2.62981,2.77161,0.03987,0.58902,0.03535,0.00965,2.37155,84.325,9.08611,0.0097228,0.0097228,0.0097228
30,24.942,1.91905,2.57348,2.77135,0.03693,0.61869,0.03691,0.0086,2.80268,49.4683,8.11061,0.0097129,0.0097129,0.0097129
31,25.6459,1.95003,2.40502,2.70401,0.10187,0.49874,0.13344,0.02708,2.72194,18.0645,5.60768,0.009703,0.009703,0.009703
